"","id","dam","sire","LLRpair","n.loci","loci"
"1","adapter_trim.F2-J43-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F1-B4-pH75.bam",0.86,50,"CM084267_1_2910813.0, CM084268_1_9292468.1, CM084273_1_32698906.1, CM084278_1_20625152.0, CM084269_1_12905562.1, CM084275_1_39776646.1, CM084273_1_32698894.0, CM084265_1_70595159.0, CM084272_1_29973150.1, CM084265_1_73060663.0, CM084270_1_46587632.0, CM084265_1_59221275.0, CM084264_1_15073604.1, CM084264_1_34297313.0, CM084269_1_43524558.1, CM084265_1_59221383.0, CM084274_1_11619945.1, CM084267_1_5830233.0, CM084274_1_4793087.0, CM084275_1_25395464.1, CM084265_1_8361562.0, CM084266_1_68200825.0, CM084278_1_30230906.0, CM084267_1_5165693.0, CM084270_1_9408154.1, CM084275_1_39502397.1, CM084278_1_31960662.1, CM084274_1_4795460.1, CM084272_1_1704404.1, CM084266_1_67239899.1, CM084275_1_25397304.1, CM084279_1_10149628.0, CM084267_1_52593751.1, CM084269_1_43523945.0, CM084275_1_327918.0, CM084264_1_61167131.1, CM084264_1_26771545.0, CM084264_1_69902275.1, CM084271_1_43868125.0, CM084272_1_9070882.1, CM084267_1_9175847.1, CM084270_1_46587592.1, CM084271_1_10301903.1, CM084271_1_44070252.0, CM084269_1_43528607.0, CM084269_1_43525214.0, CM084268_1_3699708.1, CM084266_1_69806306.1, CM084271_1_3820313.0, CM084265_1_72076134.0"
"2","adapter_trim.F2-B25-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F1-B8-pH75.bam",0.48,50,"CM084271_1_44091708.0, CM084275_1_39776496.0, CM084275_1_2509958.0, CM084275_1_38169337.1, CM084271_1_379032.0, CM084265_1_69924480.0, CM084268_1_43541.0, CM084266_1_57882838.0, CM084276_1_37144250.0, CM084278_1_20736236.0, CM084268_1_82245.0, CM084271_1_26324154.1, CM084276_1_1856932.1, CM084265_1_72926026.0, CM084264_1_70471433.1, CM084269_1_43524068.0, CM084265_1_64196870.1, CM084275_1_23095265.1, CM084264_1_39013.0, CM084269_1_4636404.1, CM084277_1_36519491.0, CM084266_1_57841523.1, CM084278_1_17460152.1, CM084274_1_5028297.1, CM084266_1_65347099.1, CM084267_1_52593775.0, CM084274_1_4694494.1, CM084264_1_70471433.1, CM084275_1_39338236.1, CM084265_1_794843.0, CM084265_1_46089462.1, CM084272_1_18192676.0, CM084278_1_22644846.0, CM084265_1_71899241.0, CM084277_1_30631454.0, CM084276_1_38961028.0, CM084274_1_3691337.1, CM084268_1_23612534.0, CM084264_1_70175500.1, CM084271_1_26332994.1, CM084277_1_30027539.1, CM084269_1_40338569.1, CM084271_1_43851366.0, CM084274_1_4870391.1, CM084265_1_64196888.0, CM084278_1_22667330.1, CM084269_1_1558064.1, CM084275_1_29098877.1, CM084278_1_20591128.0, CM084275_1_400249.0"
"3","adapter_trim.F2-J13-pH75.bam","adapter_trim.F1-B17-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.38,50,"CM084267_1_50392692.1, CM084265_1_73060663.1, CM084265_1_70595157.1, CM084266_1_67239927.1, CM084274_1_4694915.0, CM084278_1_8558566.1, CM084271_1_379052.1, CM084264_1_66439662.0, CM084266_1_57886823.1, CM084271_1_1052235.0, CM084267_1_5165671.1, CM084269_1_1567848.0, CM084267_1_5881762.0, CM084267_1_5881762.1, CM084274_1_4795460.0, CM084272_1_1891465.1, CM084274_1_4798803.0, CM084265_1_69381455.1, CM084276_1_12399731.0, CM084268_1_3699581.0, CM084277_1_29781980.1, CM084274_1_4793160.0, CM084271_1_43860505.1, CM084277_1_31027256.1, CM084268_1_50219227.1, CM084264_1_70471433.0, CM084272_1_43331300.0, CM084264_1_69863993.1, CM084274_1_6125560.0, CM084274_1_4793177.0, CM084268_1_49719639.1, CM084274_1_4788621.0, CM084270_1_19461856.0, CM084269_1_12905597.0, CM084266_1_69625521.1, CM084277_1_30953057.0, CM084268_1_50219223.0, CM084276_1_38785557.0, CM084273_1_21179215.0, CM084266_1_71166411.0, CM084279_1_32915269.0, CM084265_1_68019714.1, CM084268_1_298828.1, CM084265_1_72178237.1, CM084265_1_54591384.0, CM084274_1_4864007.0, CM084266_1_23321829.0, CM084266_1_23295992.0, CM084269_1_4628634.1, CM084275_1_35722058.1"
"4","adapter_trim.F2-J31-pH75.bam","adapter_trim.F1-B17-pH75.bam","adapter_trim.F1-B9-pH75.bam",0.62,50,"CM084274_1_4773524.1, CM084274_1_11619945.1, CM084264_1_66522465.1, CM084267_1_1134553.0, CM084269_1_46733079.1, CM084278_1_22667323.1, CM084276_1_38775936.1, CM084264_1_2738036.1, CM084273_1_31862314.1, CM084277_1_5803909.0, CM084264_1_70175545.1, CM084269_1_41809353.0, CM084278_1_277798.1, CM084274_1_4862951.1, CM084275_1_1304701.0, CM084274_1_3688102.1, CM084277_1_29780641.0, CM084266_1_57882486.1, CM084269_1_45280043.1, CM084278_1_25830477.0, CM084274_1_4686943.1, CM084264_1_72075482.1, CM084268_1_22932625.1, CM084266_1_69141202.0, CM084268_1_282153.0, CM084265_1_72091374.0, CM084273_1_31865846.0, CM084264_1_68688988.0, CM084264_1_2740173.1, CM084264_1_70174663.0, CM084264_1_70210132.0, CM084267_1_13261500.1, CM084271_1_43868125.1, CM084279_1_1079183.1, CM084264_1_73604686.1, CM084267_1_51248426.1, CM084272_1_1891463.1, CM084265_1_68074267.0, CM084265_1_66143640.1, CM084269_1_45238247.0, CM084266_1_69806294.0, CM084271_1_44075863.1, CM084273_1_37927756.1, CM084278_1_5144637.0, CM084267_1_52896264.1, CM084264_1_69298657.1, CM084278_1_24948220.1, CM084267_1_13261464.1, CM084278_1_20867809.0, CM084268_1_4026799.1"
"5","adapter_trim.F2-J24-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.83,50,"CM084266_1_63195191.0, CM084264_1_34300042.1, CM084276_1_54402.1, CM084278_1_23541026.1, CM084265_1_72986696.0, CM084274_1_4796871.1, CM084271_1_43934411.0, CM084276_1_38773527.1, CM084276_1_38775924.0, CM084272_1_23496346.0, CM084276_1_2857930.1, CM084271_1_44228071.1, CM084277_1_36519423.0, CM084269_1_1567848.0, CM084269_1_4635012.1, CM084269_1_43528607.0, CM084265_1_70979980.1, CM084278_1_16767343.0, CM084264_1_64875158.0, CM084265_1_66143629.1, CM084273_1_32698886.1, CM084268_1_50790919.0, CM084268_1_273292.0, CM084265_1_71265230.0, CM084265_1_8361584.0, CM084264_1_66439902.1, CM084272_1_2928852.0, CM084267_1_6421241.1, CM084272_1_33452076.0, CM084270_1_47076316.1, CM084265_1_71265269.0, CM084275_1_25396988.0, CM084267_1_6421243.1, CM084279_1_1073400.1, CM084278_1_29698402.0, CM084269_1_4635012.1, CM084264_1_8112674.0, CM084264_1_69271980.1, CM084269_1_43525271.1, CM084264_1_34300890.0, CM084270_1_46587607.1, CM084268_1_49721854.0, CM084274_1_4869968.1, CM084266_1_68643487.1, CM084270_1_46589386.0, CM084278_1_20732805.1, CM084264_1_73931024.1, CM084271_1_19655939.1, CM084264_1_34294469.1, CM084264_1_34300042.1"
"6","adapter_trim.F2-B2-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.34,50,"CM084279_1_1070298.1, CM084265_1_59221322.1, CM084277_1_30611561.0, CM084269_1_15827890.0, CM084279_1_32666444.0, CM084265_1_46089269.0, CM084271_1_30532519.1, CM084279_1_1062144.1, CM084279_1_929045.0, CM084264_1_72054052.0, CM084268_1_276461.0, CM084266_1_23295918.1, CM084268_1_50739258.0, CM084276_1_38558546.1, CM084274_1_5120623.1, CM084265_1_68807639.0, CM084268_1_276380.0, CM084271_1_44190417.0, CM084276_1_38787723.0, CM084273_1_4090291.0, CM084269_1_1538788.1, CM084268_1_22040364.0, CM084271_1_7136527.1, CM084274_1_4792351.0, CM084275_1_35722060.1, CM084274_1_3692513.1, CM084269_1_40447963.1, CM084278_1_20701768.0, CM084267_1_52896264.1, CM084275_1_77171.1, CM084265_1_69381619.1, CM084271_1_19655228.0, CM084279_1_1060874.1, CM084270_1_12307511.1, CM084274_1_4863726.1, CM084276_1_38773525.1, CM084273_1_31866087.1, CM084264_1_72054053.0, CM084264_1_70185106.1, CM084279_1_32915269.0, CM084264_1_73929737.0, CM084273_1_32698886.0, CM084276_1_1856932.1, CM084274_1_3691747.0, CM084270_1_19464627.1, CM084274_1_4870391.0, CM084269_1_41809353.1, CM084270_1_15641798.0, CM084269_1_4626408.0, CM084265_1_68868190.1"
"7","adapter_trim.F2-B22-pH75.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F1-B8-pH75.bam",0.43,50,"CM084266_1_69632417.1, CM084269_1_15812958.0, CM084266_1_57888961.0, CM084264_1_34303458.1, CM084279_1_1070313.0, CM084274_1_4795482.0, CM084265_1_71831401.0, CM084277_1_36521175.1, CM084268_1_9292527.0, CM084268_1_9292468.0, CM084266_1_68515581.0, CM084272_1_43480818.1, CM084274_1_42859664.0, CM084264_1_15073604.0, CM084266_1_57882079.1, CM084271_1_44075863.0, CM084273_1_33585263.0, CM084272_1_1891434.1, CM084276_1_38287449.1, CM084268_1_9292527.1, CM084279_1_160989.1, CM084269_1_15828548.0, CM084274_1_4789702.0, CM084266_1_57884345.1, CM084278_1_22645215.0, CM084265_1_71831409.1, CM084271_1_43812187.0, CM084276_1_37353154.0, CM084271_1_37237149.1, CM084271_1_19655878.0, CM084266_1_71166412.1, CM084279_1_1882771.0, CM084278_1_8558512.1, CM084264_1_75512085.0, CM084272_1_1311984.0, CM084269_1_45238132.1, CM084271_1_44066688.0, CM084267_1_5161036.0, CM084276_1_6150174.0, CM084264_1_74183870.1, CM084265_1_68868202.1, CM084271_1_26325720.1, CM084278_1_28652016.0, CM084265_1_68808152.1, CM084269_1_12905590.1, CM084275_1_19996650.0, CM084278_1_23536960.1, CM084268_1_82245.0, CM084275_1_312961.1, CM084272_1_33597658.0"
"8","adapter_trim.F2-J49-pH75.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F1-B20-pH75.bam",0.62,50,"CM084272_1_43480818.1, CM084274_1_4863902.1, CM084276_1_56048.1, CM084275_1_40706319.1, CM084266_1_69051080.0, CM084269_1_39737155.1, CM084273_1_214007.1, CM084269_1_45438470.1, CM084264_1_69861978.0, CM084264_1_73926177.0, CM084264_1_72113815.0, CM084264_1_66439902.1, CM084270_1_42355508.0, CM084271_1_44104716.1, CM084272_1_33453892.1, CM084269_1_15809963.0, CM084269_1_1544433.1, CM084274_1_4795077.1, CM084276_1_37353147.0, CM084276_1_6688311.0, CM084278_1_23536960.0, CM084264_1_69271981.0, CM084274_1_4868380.0, CM084265_1_54591404.1, CM084272_1_2073141.0, CM084271_1_257176.0, CM084268_1_1326515.1, CM084277_1_30027550.0, CM084276_1_12385340.1, CM084266_1_70706238.1, CM084271_1_43934411.0, CM084277_1_35287257.1, CM084277_1_30168102.0, CM084267_1_51033717.1, CM084276_1_11709759.1, CM084264_1_66561947.0, CM084264_1_6517724.0, CM084275_1_66811.0, CM084272_1_18193991.0, CM084264_1_64487818.1, CM084267_1_2426156.1, CM084268_1_3695260.0, CM084268_1_18519472.1, CM084265_1_71794444.0, CM084275_1_2509950.1, CM084267_1_5161043.1, CM084274_1_41688609.1, CM084264_1_68689030.1, CM084269_1_47563826.0, CM084278_1_8558566.1"
"9","adapter_trim.F2-J28-pH75.bam","adapter_trim.F1-B17-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.5,50,"CM084278_1_14913766.1, CM084266_1_71160169.0, CM084264_1_74266371.0, CM084266_1_70707608.0, CM084264_1_70466154.0, CM084269_1_42862797.1, CM084266_1_68322200.1, CM084275_1_529155.0, CM084265_1_72368147.0, CM084264_1_48147317.1, CM084264_1_73927104.0, CM084272_1_18194129.1, CM084265_1_73061282.1, CM084272_1_33603798.0, CM084264_1_74191574.1, CM084277_1_31027256.0, CM084267_1_11257252.1, CM084268_1_3695260.0, CM084268_1_23612534.0, CM084269_1_1558064.1, CM084265_1_72636278.1, CM084272_1_11675265.1, CM084269_1_15799394.1, CM084265_1_64735421.1, CM084264_1_70471578.0, CM084269_1_12905590.0, CM084269_1_15827788.0, CM084265_1_39553350.0, CM084264_1_73152605.1, CM084271_1_43868179.0, CM084268_1_9292474.0, CM084270_1_11478201.0, CM084271_1_30532401.1, CM084266_1_67097920.1, CM084264_1_72072573.0, CM084266_1_58086170.0, CM084275_1_23095265.0, CM084266_1_70706235.0, CM084267_1_52591726.1, CM084265_1_46089269.1, CM084278_1_8558559.1, CM084272_1_41037487.0, CM084270_1_46587592.1, CM084267_1_6420915.0, CM084264_1_68688356.0, CM084266_1_68319477.0, CM084265_1_790962.1, CM084271_1_23942504.1, CM084269_1_1558052.0, CM084264_1_8112674.0"
"10","adapter_trim.F2-J10-pH75.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F1-B9-pH75.bam",0.92,50,"CM084278_1_14913766.1, CM084266_1_71160169.0, CM084264_1_74266371.0, CM084266_1_70707608.0, CM084264_1_70466154.0, CM084269_1_42862797.1, CM084266_1_68322200.1, CM084275_1_529155.0, CM084265_1_72368147.0, CM084264_1_48147317.1, CM084264_1_73927104.0, CM084272_1_18194129.1, CM084265_1_73061282.1, CM084272_1_33603798.0, CM084264_1_74191574.1, CM084277_1_31027256.0, CM084267_1_11257252.1, CM084268_1_3695260.0, CM084268_1_23612534.0, CM084269_1_1558064.1, CM084265_1_72636278.1, CM084272_1_11675265.1, CM084269_1_15799394.1, CM084265_1_64735421.1, CM084264_1_70471578.0, CM084269_1_12905590.0, CM084269_1_15827788.0, CM084265_1_39553350.0, CM084264_1_73152605.1, CM084271_1_43868179.0, CM084268_1_9292474.0, CM084270_1_11478201.0, CM084271_1_30532401.1, CM084266_1_67097920.1, CM084264_1_72072573.0, CM084266_1_58086170.0, CM084275_1_23095265.0, CM084266_1_70706235.0, CM084267_1_52591726.1, CM084265_1_46089269.1, CM084278_1_8558559.1, CM084272_1_41037487.0, CM084270_1_46587592.1, CM084267_1_6420915.0, CM084264_1_68688356.0, CM084266_1_68319477.0, CM084265_1_790962.1, CM084271_1_23942504.1, CM084269_1_1558052.0, CM084264_1_8112674.0"
